2026-06-05 10:19:16,863 [INFO] Connesso: COM5 @ 9600
2026-06-05 10:19:21,439 [DEBUG] RX #0001 | testo='OPEN:1234:CNT:0001\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 31 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:19:29,669 [DEBUG] TX #0001 | 32 byte | replay #0001 | testo='OPEN:1234:CNT:0001\n'
2026-06-05 10:21:29,541 [DEBUG] RX #0002 | testo='OPEN:1234:CNT:0002\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 32 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:41,164 [DEBUG] RX #0003 | testo='OPEN:1234:CNT:0003\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 33 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:45,561 [DEBUG] RX #0004 | testo='OPEN:1234:CNT:0004\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 34 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:21:48,294 [DEBUG] RX #0005 | testo='OPEN:1234:CNT:0005\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 35 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:00,416 [DEBUG] RX #0006 | testo='OPEN:1234:CNT:0006\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 36 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:00,713 [DEBUG] RX #0007 | testo='OPEN:1234:CNT:0007\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 37 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:22:05,499 [DEBUG] RX #0008 | testo='OPEN:1234:CNT:0008\n' | hex=4F 50 45 4E 3A 31 32 33 34 3A 43 4E 54 3A 30 30 30 38 0A 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-05 10:24:24,176 [ERROR] Errore lettura: GetOverlappedResult failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:33,732 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:34,234 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:34,737 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:35,240 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:35,742 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:36,246 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:36,748 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:37,251 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:37,753 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:38,255 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:38,759 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:39,263 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:39,766 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:40,268 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:40,770 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:41,272 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:41,775 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:42,276 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:42,778 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:43,281 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:43,783 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:44,284 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:44,786 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:45,291 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:45,793 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:46,296 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:46,798 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:47,301 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:47,803 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:48,305 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:48,808 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:49,310 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:49,813 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:50,315 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:50,822 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:51,326 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:51,828 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:52,329 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:52,831 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:53,334 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:53,837 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:54,339 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:54,842 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:55,344 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:55,846 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:56,349 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:56,852 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:57,354 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:57,856 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:58,358 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:58,860 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:59,361 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:24:59,865 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:00,367 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:00,869 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:01,402 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:01,909 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:02,411 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:02,914 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:03,416 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:03,918 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:04,420 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:04,923 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:05,424 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:05,926 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:06,429 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:06,931 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:07,433 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:07,936 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:08,438 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:08,940 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:09,444 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:09,946 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:10,449 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:10,951 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:11,454 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:11,956 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:12,460 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:12,962 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:13,464 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:13,966 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:14,469 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:14,972 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:15,475 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:15,978 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:16,480 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:16,982 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:17,485 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:17,988 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:18,490 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:18,992 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:19,494 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:19,997 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:20,499 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:21,003 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:21,506 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:22,008 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:22,511 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:23,013 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:23,516 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:24,021 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:24,523 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:25,025 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:25,528 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:26,030 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:26,534 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:27,037 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:27,539 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:28,042 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:28,544 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:29,047 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:29,551 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:30,053 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:30,556 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:31,059 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:31,560 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:32,062 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:32,564 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:33,066 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:33,569 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:34,078 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:34,581 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:35,087 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:35,590 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:36,091 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:36,593 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:37,097 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:37,599 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:38,101 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:38,603 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:39,105 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:39,607 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:40,110 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:40,614 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:41,116 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:41,618 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:42,121 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:42,622 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:43,124 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:43,649 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:44,151 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:44,653 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:45,156 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:45,660 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:46,162 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:46,665 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:47,167 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:47,670 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:48,176 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:48,679 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:49,180 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:49,682 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:50,184 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:50,687 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:51,191 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:51,693 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:52,195 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:52,697 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:53,199 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:53,701 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:54,203 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:54,705 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:55,208 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:55,710 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:56,212 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:56,714 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:57,220 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:57,724 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:58,226 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:58,729 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:59,231 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:25:59,735 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
2026-06-05 10:26:00,237 [ERROR] Errore lettura: ClearCommError failed (PermissionError(13, 'Accesso negato.', None, 5))
